Year,Month,CPIU
1958,1,3.62
1958,2,3.25
1958,3,3.60
1958,4,3.58
1958,5,3.21
1958,6,2.85
1958,7,2.47
1958,8,2.12
1958,9,2.12
1958,10,2.12
1958,11,2.11
1958,12,1.76
1959,1,1.40
1959,2,1.05
1959,3,0.35
1959,4,0.35
1959,5,0.35
1959,6,0.69
1959,7,0.69
1959,8,1.04
1959,9,1.38
1959,10,1.73
1959,11,1.38
1959,12,1.73
1960,1,1.03
1960,2,1.73
1960,3,1.73
1960,4,1.72
1960,5,1.72
1960,6,1.72
1960,7,1.37
1960,8,1.37
1960,9,1.02
1960,10,1.36
1960,11,1.36
1960,12,1.36
1961,1,1.71
1961,2,1.36
1961,3,1.36
1961,4,1.02
1961,5,1.02
1961,6,0.68
1961,7,1.35
1961,8,1.01
1961,9,1.35
1961,10,0.67
1961,11,0.67
1961,12,0.67
1962,1,0.67
1962,2,1.01
1962,3,1.01
1962,4,1.34
1962,5,1.34
1962,6,1.34
1962,7,1.00
1962,8,1.34
1962,9,1.33
1962,10,1.33
1962,11,1.33
1962,12,1.33
1963,1,1.33
1963,2,1.00
1963,3,1.33
1963,4,0.99
1963,5,0.99
1963,6,1.32
1963,7,1.32
1963,8,1.32
1963,9,0.99
1963,10,1.32
1963,11,1.32
1963,12,1.64
1964,1,1.64
1964,2,1.64
1964,3,1.31
1964,4,1.31
1964,5,1.31
1964,6,1.31
1964,7,1.30
1964,8,0.98
1964,9,1.30
1964,10,0.97
1964,11,1.30
1964,12,0.97
1965,1,0.97
1965,2,0.97
1965,3,1.29
1965,4,1.62
1965,5,1.62
1965,6,1.94
1965,7,1.61
1965,8,1.94
1965,9,1.61
1965,10,1.93
1965,11,1.60
1965,12,1.92
1966,1,1.92
1966,2,2.56
1966,3,2.56
1966,4,2.87
1966,5,2.87
1966,6,2.53
1966,7,2.85
1966,8,3.48
1966,9,3.48
1966,10,3.79
1966,11,3.79
1966,12,3.46
1967,1,3.46
1967,2,2.81
1967,3,2.80
1967,4,2.48
1967,5,2.79
1967,6,2.78
1967,7,2.77
1967,8,2.45
1967,9,2.75
1967,10,2.43
1967,11,2.74
1967,12,3.04
1968,1,3.65
1968,2,3.95
1968,3,3.94
1968,4,3.93
1968,5,3.92
1968,6,4.20
1968,7,4.49
1968,8,4.48
1968,9,4.46
1968,10,4.75
1968,11,4.73
1968,12,4.72
1969,1,4.40
1969,2,4.68
1969,3,5.25
1969,4,5.52
1969,5,5.51
1969,6,5.48
1969,7,5.44
1969,8,5.71
1969,9,5.70
1969,10,5.67
1969,11,5.93
1969,12,6.20
1970,1,6.18
1970,2,6.15
1970,3,5.82
1970,4,6.06
1970,5,6.04
1970,6,6.01
1970,7,5.98
1970,8,5.41
1970,9,5.66
1970,10,5.63
1970,11,5.60
1970,12,5.57
1971,1,5.29
1971,2,5.00
1971,3,4.71
1971,4,4.16
1971,5,4.40
1971,6,4.64
1971,7,4.36
1971,8,4.62
1971,9,4.08
1971,10,3.81
1971,11,3.28
1971,12,3.27
1972,1,3.27
1972,2,3.51
1972,3,3.50
1972,4,3.49
1972,5,3.23
1972,6,2.71
1972,7,2.95
1972,8,2.94
1972,9,3.19
1972,10,3.42
1972,11,3.67
1972,12,3.41
1973,1,3.65
1973,2,3.87
1973,3,4.59
1973,4,5.06
1973,5,5.53
1973,6,6.00
1973,7,5.73
1973,8,7.38
1973,9,7.36
1973,10,7.80
1973,11,8.25
1973,12,8.71
1974,1,9.39
1974,2,10.02
1974,3,10.39
1974,4,10.09
1974,5,10.71
1974,6,10.86
1974,7,11.51
1974,8,10.86
1974,9,11.95
1974,10,12.06
1974,11,12.20
1974,12,12.34
1975,1,11.80
1975,2,11.23
1975,3,10.25
1975,4,10.21
1975,5,9.47
1975,6,9.39
1975,7,9.72
1975,8,8.60
1975,9,7.91
1975,10,7.44
1975,11,7.38
1975,12,6.94
1976,1,6.72
1976,2,6.29
1976,3,6.07
1976,4,6.05
1976,5,6.20
1976,6,5.97
1976,7,5.35
1976,8,5.71
1976,9,5.49
1976,10,5.46
1976,11,4.88
1976,12,4.86
1977,1,5.22
1977,2,5.91
1977,3,6.44
1977,4,6.95
1977,5,6.73
1977,6,6.87
1977,7,6.83
1977,8,6.62
1977,9,6.60
1977,10,6.39
1977,11,6.72
1977,12,6.70
1978,1,6.84
1978,2,6.43
1978,3,6.55
1978,4,6.50
1978,5,6.97
1978,6,7.41
1978,7,7.70
1978,8,7.84
1978,9,8.31
1978,10,8.93
1978,11,8.89
1978,12,9.02
1979,1,9.28
1979,2,9.86
1979,3,10.09
1979,4,10.49
1979,5,10.85
1979,6,10.89
1979,7,11.26
1979,8,11.82
1979,9,12.18
1979,10,12.07
1979,11,12.61
1979,12,13.29
1980,1,13.91
1980,2,14.18
1980,3,14.76
1980,4,14.73
1980,5,14.41
1980,6,14.38
1980,7,13.13
1980,8,12.87
1980,9,12.60
1980,10,12.77
1980,11,12.65
1980,12,12.52
1981,1,11.83
1981,2,11.41
1981,3,10.49
1981,4,10.00
1981,5,9.78
1981,6,9.55
1981,7,10.76
1981,8,10.80
1981,9,10.95
1981,10,10.14
1981,11,9.59
1981,12,8.92
1982,1,8.39
1982,2,7.62
1982,3,6.78
1982,4,6.51
1982,5,6.68
1982,6,7.06
1982,7,6.44
1982,8,5.85
1982,9,5.04
1982,10,5.14
1982,11,4.59
1982,12,3.83
1983,1,3.71
1983,2,3.49
1983,3,3.60
1983,4,3.90
1983,5,3.55
1983,6,2.58
1983,7,2.46
1983,8,2.56
1983,9,2.86
1983,10,2.85
1983,11,3.27
1983,12,3.79
1984,1,4.19
1984,2,4.60
1984,3,4.80
1984,4,4.56
1984,5,4.23
1984,6,4.22
1984,7,4.20
1984,8,4.29
1984,9,4.27
1984,10,4.26
1984,11,4.05
1984,12,3.95
1985,1,3.53
1985,2,3.52
1985,3,3.70
1985,4,3.69
1985,5,3.77
1985,6,3.76
1985,7,3.55
1985,8,3.35
1985,9,3.14
1985,10,3.23
1985,11,3.51
1985,12,3.80
1986,1,3.89
1986,2,3.11
1986,3,2.26
1986,4,1.59
1986,5,1.49
1986,6,1.77
1986,7,1.58
1986,8,1.57
1986,9,1.75
1986,10,1.47
1986,11,1.28
1986,12,1.10
1987,1,1.46
1987,2,2.10
1987,3,3.03
1987,4,3.78
1987,5,3.86
1987,6,3.65
1987,7,3.93
1987,8,4.28
1987,9,4.36
1987,10,4.53
1987,11,4.53
1987,12,4.43
1988,1,4.05
1988,2,3.94
1988,3,3.93
1988,4,3.90
1988,5,3.89
1988,6,3.96
1988,7,4.13
1988,8,4.02
1988,9,4.17
1988,10,4.25
1988,11,4.25
1988,12,4.42
1989,1,4.67
1989,2,4.83
1989,3,4.98
1989,4,5.12
1989,5,5.36
1989,6,5.17
1989,7,4.98
1989,8,4.71
1989,9,4.34
1989,10,4.49
